,precision,recall,f1-score,support
0,0.443359375,0.628808864265928,0.5200458190148911,361.0
1,0.45081967213114754,0.27848101265822783,0.3442879499217527,395.0
accuracy,0.44576719576719576,0.44576719576719576,0.44576719576719576,0.44576719576719576
macro avg,0.44708952356557374,0.4536449384620779,0.4321668844683219,756.0
weighted avg,0.4472572815698457,0.44576719576719576,0.4282146572532646,756.0
