,True_Label,LSTM_5,LSTM_20,LSTM_60,LSTM_120,VIT_5,VIT_20,VIT_60,VIT_120
583,0,0.56743586,0.5697996,0.55987465,0.5600936,0.10138892,0.08244031,0.10966713,0.090135284
584,0,0.5699142,0.5674351,0.5600641,0.56003624,0.112031326,0.087578736,0.26372564,0.10629413
585,0,0.56800175,0.5646175,0.5602005,0.5599851,0.09509619,0.081121914,0.15982993,0.08869642
586,0,0.5634924,0.561565,0.56027985,0.5599221,0.08950767,0.09959745,0.104463115,0.09038313
587,1,0.5561691,0.55854803,0.5602132,0.55986035,0.13874279,0.0937214,0.11505729,0.07840588
588,1,0.5488904,0.55619586,0.56008494,0.5597789,0.10534305,0.08599363,0.102293134,0.0909407
589,1,0.5432331,0.5547592,0.55988735,0.5596911,0.2888053,0.08372557,0.10309361,0.08414969
590,1,0.54315865,0.55409104,0.5596288,0.55958873,0.13527597,0.09113867,0.10254312,0.0856957
591,1,0.54866785,0.5540783,0.55934644,0.5594729,0.104772784,0.0755664,0.10546513,0.09683819
592,0,0.5473922,0.5544902,0.55901736,0.5593516,0.09713581,0.08417292,0.106005505,0.0974952
593,1,0.5444246,0.55462974,0.55866593,0.55923426,0.10835978,0.08017475,0.1119351,0.095667616
594,1,0.54710186,0.554722,0.55834085,0.55911446,0.10250065,0.08439519,0.10412437,0.14848462
595,1,0.55071783,0.5555874,0.5579552,0.55899674,0.108921655,0.081520356,0.10101192,0.09286162
596,0,0.5561524,0.55635387,0.5576048,0.558895,0.09566827,0.09505309,0.11476443,0.09569415
597,0,0.5611808,0.5574443,0.5572804,0.5588075,0.09203888,0.08990445,0.11406033,0.08785649
598,0,0.5647012,0.5587598,0.55690986,0.55873454,0.10481855,0.09998923,0.1144989,0.086682044
599,0,0.5641698,0.56022125,0.5564835,0.5586685,0.12148553,0.08336288,0.10464621,0.093495816
600,0,0.55873716,0.5609748,0.5561191,0.55854785,0.12419267,0.34659132,0.115916,0.08453763
601,0,0.55043447,0.5614986,0.55575395,0.5584404,0.10272561,0.08158738,0.1286242,0.12222892
602,0,0.544624,0.56184876,0.5555356,0.558378,0.30595452,0.10519377,0.10176281,0.09072187
603,1,0.563954,0.56315666,0.55535626,0.5583147,0.11368522,0.0873417,0.110991575,0.11938875
604,1,0.5951808,0.5655172,0.5551083,0.55823976,0.15238923,0.09211019,0.10728839,0.1158239
605,0,0.61110294,0.56792367,0.55483603,0.55817133,0.10593982,0.08580122,0.103714645,0.09007038
606,0,0.60431737,0.56986505,0.5545622,0.5581141,0.12998207,0.13588777,0.11806188,0.08223204
607,0,0.57235914,0.5715722,0.55460835,0.5580645,0.10265733,0.08200955,0.13124804,0.0857335
608,0,0.54617256,0.5727268,0.5546404,0.55801547,0.11284905,0.07829796,0.1113888,0.095540754
609,1,0.55090153,0.5741261,0.5547077,0.5580101,0.10438937,0.07960937,0.09726317,0.085956275
610,0,0.57200336,0.5755969,0.5548306,0.5579993,0.1066925,0.08371538,0.114631444,0.09236168
611,0,0.60733974,0.5772016,0.5549563,0.5580132,0.11301405,0.07943835,0.10368637,0.08507653
612,0,0.6283445,0.5792402,0.55508554,0.5580574,0.11789366,0.0855751,0.13926081,0.08462934
613,0,0.6465844,0.58183146,0.55526906,0.5581202,0.18154438,0.52972376,0.11373108,0.07829913
614,0,0.63287675,0.5855534,0.5555401,0.5582346,0.108445205,0.111447774,0.11259776,0.081876874
615,1,0.6491622,0.5910654,0.55580425,0.55839723,0.11072597,0.088115126,0.10451046,0.18870042
616,1,0.6910659,0.5981765,0.556015,0.5585243,0.113418475,0.0888117,0.100633614,0.092613176
617,1,0.71200216,0.606655,0.5561435,0.55862755,0.10773309,0.08739719,0.107633546,0.09232014
618,1,0.69435257,0.6155434,0.5563434,0.55871826,0.48189056,0.091240995,0.1006118,0.085578606
619,0,0.655196,0.62207776,0.55644876,0.5587908,0.114783846,0.4278903,0.12165861,0.08744661
620,0,0.5964898,0.6211403,0.55662763,0.55885047,0.7935835,0.08577043,0.20350485,0.23548049
621,1,0.5671147,0.6050952,0.55678976,0.5589067,0.107422106,0.09015936,0.10466206,0.16631857
622,1,0.5671734,0.57292306,0.556864,0.5589455,0.11406433,0.08755522,0.115326956,0.0895281
623,0,0.5697251,0.5512312,0.5568553,0.5589672,0.104092106,0.07769033,0.1044914,0.08818358
624,1,0.5735499,0.56304586,0.55680984,0.55899036,0.10688032,0.09505297,0.101283126,0.085442394
625,0,0.5811307,0.58236396,0.55682844,0.5590103,0.102356195,0.092357844,0.09788645,0.09153558
626,1,0.5873405,0.59739894,0.5568912,0.55904543,0.12706058,0.09264994,0.10470219,0.083339214
627,1,0.5948647,0.6031848,0.55696416,0.55907375,0.10087415,0.087967746,0.13878259,0.08413797
628,0,0.60394496,0.60297453,0.55703396,0.55909973,0.09829599,0.089623235,0.35548204,0.08726901
629,1,0.59913313,0.60133094,0.55711156,0.5591241,0.115362026,0.09195355,0.110521294,0.0901938
630,1,0.586948,0.6033656,0.55723166,0.5591329,0.11441755,0.08523009,0.10039138,0.09260354
