,True_Label,LSTM_5,LSTM_20,LSTM_60,LSTM_120,VIT_5,VIT_20,VIT_60,VIT_120
0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0
2,1,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0
4,1,0,0,0,0,1,0,0,0
5,1,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0
35,1,0,0,0,0,0,0,0,0
36,1,1,0,0,0,0,0,0,0
37,1,1,0,0,0,0,0,0,0
38,1,1,1,0,0,0,0,0,0
39,1,1,1,0,0,0,0,0,0
40,0,1,1,0,0,0,0,0,0
41,1,1,1,0,0,0,0,0,0
42,0,1,1,0,0,0,0,0,0
43,0,0,1,0,0,0,0,0,0
44,0,0,1,0,0,0,0,0,0
45,1,1,1,0,0,0,0,0,0
46,0,1,1,0,0,0,0,0,0
47,1,1,1,0,0,0,0,0,0
48,1,1,1,0,0,0,0,0,0
49,1,1,1,0,0,0,0,0,0
50,1,1,1,0,0,0,0,0,0
51,1,1,1,1,0,0,0,0,0
52,1,1,1,1,0,0,0,0,0
53,1,1,1,1,0,0,0,0,0
54,1,1,1,1,0,0,0,0,0
55,1,1,1,1,0,0,0,0,0
56,1,1,1,1,0,0,0,0,0
57,1,1,1,1,0,0,0,0,0
58,1,1,1,1,0,0,0,0,0
59,1,0,1,1,0,0,0,0,0
60,1,0,1,1,0,0,0,0,0
61,1,0,1,1,0,0,0,0,0
62,0,0,1,1,0,0,0,0,0
63,0,0,1,1,0,0,0,0,0
64,0,0,1,1,0,0,0,0,0
65,0,0,1,1,0,0,1,0,0
66,1,0,1,1,0,1,0,0,0
67,1,0,1,1,0,0,0,0,0
68,1,0,0,1,0,0,0,0,0
69,1,0,0,1,0,0,0,0,0
70,1,0,0,1,0,0,0,0,0
71,1,0,0,1,0,0,0,0,0
72,1,0,0,1,0,0,0,1,0
73,1,0,0,1,0,0,0,0,0
74,1,0,0,1,0,0,0,0,0
75,1,0,0,1,0,0,0,0,0
76,0,0,0,1,0,0,0,0,0
77,1,0,0,1,0,0,0,0,0
78,0,0,0,1,0,0,0,0,0
79,0,0,0,1,0,0,0,0,0
80,0,0,0,1,0,0,0,0,0
81,0,0,0,1,0,0,0,0,0
82,0,0,0,1,0,0,0,0,0
83,0,0,0,1,0,0,0,0,0
84,0,0,0,1,0,0,0,0,0
85,0,0,0,1,0,0,0,0,0
86,0,0,0,1,0,0,0,0,0
87,0,0,0,1,0,0,0,0,0
88,0,0,0,1,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0
90,0,1,0,0,0,0,0,0,0
91,0,1,0,0,0,0,0,0,0
92,0,1,0,0,0,0,0,0,0
93,0,1,0,0,0,0,0,0,0
94,1,1,0,0,0,0,0,0,0
95,1,1,0,0,0,0,0,0,0
96,1,1,0,0,0,0,0,0,0
97,1,1,0,0,0,0,0,0,0
98,1,1,0,0,0,0,0,0,0
99,1,1,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0
101,0,0,1,0,0,0,0,0,0
102,0,0,1,0,0,0,0,0,0
103,0,0,1,0,0,0,0,0,0
104,0,1,1,0,0,0,0,0,0
105,0,0,1,0,0,0,0,0,0
106,0,0,1,0,0,0,0,0,0
107,1,0,1,0,0,0,0,0,0
108,1,0,1,0,0,0,0,0,0
109,0,0,1,0,0,0,0,0,0
110,0,0,1,0,0,0,0,0,0
111,0,0,1,0,0,0,0,0,0
112,1,1,1,0,0,0,0,0,0
113,1,1,1,0,0,0,0,0,0
114,1,1,1,0,0,0,1,0,0
115,1,1,1,0,0,0,0,0,0
116,1,1,1,0,1,0,0,0,0
117,0,1,0,0,1,0,0,0,0
