,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit
0,2022-01-04,1041.069946,1041.290039,1025.22998,1031.660034,0,No action,0.0,0.0,0.0
1,2022-01-05,1029.119995,1029.119995,1007.840027,1009.619995,1,Buy,0.0,0.0,0.0
2,2022-01-06,993.599976,1003.01001,979.830017,980.299988,1,Holding,0.0,0.0,0.0
3,2022-01-07,986.179993,997.02002,986.179993,995.159973,1,Holding,0.0,0.0,0.0
4,2022-01-10,992.48999,992.48999,976.409973,980.380005,1,Holding,0.0,0.0,0.0
5,2022-01-11,982.440002,985.130005,962.909973,969.919983,1,Holding,0.0,0.0,0.0
6,2022-01-12,978.690002,991.710022,978.690002,991.330017,0,Holding,0.0,0.0,0.0
7,2022-01-13,994.549988,994.549988,981.309998,983.25,0,sell,-38.510009999999966,-3.8143073820561533,-38.510009999999966
8,2022-01-14,971.109985,977.690002,967.190002,971.390015,1,Buy,0.0,0.0,-38.510009999999966
9,2022-01-17,971.809998,971.809998,954.820007,957.900024,1,Holding,0.0,0.0,-38.510009999999966
10,2022-01-18,959.97998,969.169983,942.109985,943.940002,1,Holding,0.0,0.0,-38.510009999999966
11,2022-01-19,935.059998,944.809998,929.150024,933.900024,1,Holding,0.0,0.0,-38.510009999999966
12,2022-01-20,934.0,958.700012,933.969971,958.700012,1,Holding,0.0,0.0,-38.510009999999966
13,2022-01-21,950.669983,958.380005,937.47998,942.849976,1,Holding,0.0,0.0,-38.510009999999966
14,2022-01-24,915.400024,915.400024,915.400024,915.400024,1,Holding,0.0,0.0,-38.510009999999966
15,2022-01-25,920.950012,923.070007,883.169983,889.440002,1,Holding,0.0,0.0,-38.510009999999966
16,2022-01-26,892.01001,900.380005,881.679993,882.090027,0,Holding,0.0,0.0,-38.510009999999966
17,2022-01-27,884.22998,885.0,847.340027,849.22998,1,Holding,0.0,0.0,-38.510009999999966
18,2022-01-28,852.570007,872.869995,835.549988,872.869995,1,Holding,0.0,0.0,-38.510009999999966
19,2022-02-03,887.849976,898.369995,887.02002,891.599976,1,Holding,0.0,0.0,-38.510009999999966
20,2022-02-04,888.51001,902.869995,886.929993,902.869995,1,Holding,0.0,0.0,-38.510009999999966
21,2022-02-07,905.960022,905.960022,893.909973,899.400024,1,Holding,0.0,0.0,-38.510009999999966
22,2022-02-08,900.700012,907.23999,887.539978,895.27002,1,Holding,0.0,0.0,-38.510009999999966
23,2022-02-09,904.070007,910.530029,900.859985,910.530029,1,Holding,0.0,0.0,-38.510009999999966
24,2022-02-10,914.650024,914.919983,893.210022,895.679993,1,Holding,0.0,0.0,-38.510009999999966
25,2022-02-11,885.309998,889.419983,877.280029,877.419983,1,Holding,0.0,0.0,-38.510009999999966
26,2022-02-14,864.48999,867.23999,850.280029,852.789978,1,Holding,0.0,0.0,-38.510009999999966
27,2022-02-15,855.619995,860.400024,837.830017,839.919983,1,Holding,0.0,0.0,-38.510009999999966
28,2022-02-16,857.539978,878.150024,857.539978,878.150024,1,Holding,0.0,0.0,-38.510009999999966
29,2022-02-17,879.119995,890.780029,858.780029,874.219971,1,Holding,0.0,0.0,-38.510009999999966
30,2022-02-18,862.190002,882.01001,860.809998,881.710022,0,Holding,0.0,0.0,-38.510009999999966
31,2022-02-21,871.22998,884.26001,865.580017,884.25,1,Holding,0.0,0.0,-38.510009999999966
32,2022-02-22,869.080017,878.330017,865.22998,868.109985,1,Holding,0.0,0.0,-38.510009999999966
33,2022-02-23,873.320007,879.97998,870.25,877.330017,1,Holding,0.0,0.0,-38.510009999999966
