,precision,recall,f1-score,support
0,0.4369369369369369,0.31493506493506496,0.3660377358490566,308.0
1,0.5926640926640927,0.7106481481481481,0.6463157894736842,432.0
accuracy,0.5459459459459459,0.5459459459459459,0.5459459459459459,0.5459459459459459
macro avg,0.5148005148005148,0.5127916065416065,0.5061767626613703,740.0
weighted avg,0.5278479251452225,0.5459459459459459,0.529659518505596,740.0
