,precision,recall,f1-score,support
0,0.4712041884816754,0.5309734513274337,0.4993065187239944,339.0
1,0.5558659217877095,0.49625935162094764,0.5243741765480896,401.0
accuracy,0.5121621621621621,0.5121621621621621,0.5121621621621621,0.5121621621621621
macro avg,0.5135350551346924,0.5136164014741906,0.511840347636042,740.0
weighted avg,0.517081695313729,0.5121621621621621,0.512890479247592,740.0
