,Year,Start Price,End Price,Profit Price,Profit Rate(%)
0,2020~2022,9039.459961,10466.480469,1427.0205079999996,15.786568159566624
1,2020,9039.459961,12888.280273,3848.820312,42.57798948837006
2,2021,12958.519531,15644.969727,2686.450196,20.731150572975125
3,2022,15732.5,10466.480469,-5266.019531,-33.47223601461942
