,Year,Start Price,End Price,Profit Price,Profit Rate(%)
0,2020~2022,672.530029,679.289978,6.759949000000006,1.0051519944843987
1,2020,672.530029,968.419983,295.889954,43.99654160275421
2,2021,968.859985,1033.97998,65.11999500000002,6.721300911194099
3,2022,1041.069946,679.289978,-361.77996800000005,-34.75078397854355
