,Year,Start Price,End Price,Profit Price,Profit Rate(%)
0,2020~2022,2201.209961,2236.399902,35.18994100000009,1.598663536122354
1,2020,2201.209961,2873.469971,672.26001,30.540476461163895
2,2021,2874.5,2977.649902,103.14990200000011,3.5884467559575617
3,2022,2991.969971,2236.399902,-755.5700689999999,-25.253263780166456
