,Year,Start Price,End Price,Profit Price,Profit Rate(%)
0,2020~2022,3244.669922,3839.5,594.830078,18.33252972719485
1,2020,3244.669922,3756.070068,511.40014599999995,15.761237916144493
2,2021,3764.610107,4766.180176,1001.5700689999999,26.60488179473508
3,2022,4778.140137,3839.5,-938.6401370000003,-19.644466467853206
