,Date,Open,High,Low,Close,Predicted_results_60,action_60,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit
0,2020-01-02,672.530029,674.299988,666.619995,674.02002,1,Buy,0.0,0.0,0.0
1,2020-01-03,677.570007,679.369995,668.099976,669.929993,0,Holding,0.0,0.0,0.0
2,2020-01-06,660.080017,663.099976,653.609985,655.309998,1,Holding,0.0,0.0,0.0
3,2020-01-07,660.869995,664.210022,659.179993,663.440002,0,Holding,0.0,0.0,0.0
4,2020-01-08,657.23999,658.140015,637.429993,640.940002,1,Holding,0.0,0.0,0.0
5,2020-01-09,657.01001,666.090027,656.25,666.090027,1,Holding,0.0,0.0,0.0
6,2020-01-10,668.789978,673.030029,665.919983,673.030029,1,Holding,0.0,0.0,0.0
7,2020-01-13,673.76001,679.219971,673.22998,679.219971,1,Holding,0.0,0.0,0.0
8,2020-01-14,682.140015,685.880005,676.780029,678.710022,0,Holding,0.0,0.0,0.0
9,2020-01-15,678.830017,681.390015,676.909973,679.159973,1,Holding,0.0,0.0,0.0
10,2020-01-16,679.669983,686.52002,679.48999,686.52002,0,Holding,0.0,0.0,0.0
11,2020-01-17,689.72998,690.609985,686.679993,688.409973,0,sell,16.829955999999925,2.496951945136574,16.829955999999925
12,2020-01-20,690.849976,691.169983,682.47998,683.469971,1,Buy,0.0,0.0,16.829955999999925
13,2020-01-21,683.820007,685.890015,675.47998,676.52002,0,Holding,0.0,0.0,16.829955999999925
14,2020-01-22,677.049988,688.280029,677.049988,688.25,1,Holding,0.0,0.0,16.829955999999925
15,2020-01-23,685.940002,687.710022,683.52002,685.570007,1,Holding,0.0,0.0,16.829955999999925
16,2020-01-28,664.700012,664.700012,664.700012,664.700012,0,Holding,0.0,0.0,16.829955999999925
17,2020-01-29,671.080017,671.97998,664.090027,670.179993,1,Holding,0.0,0.0,16.829955999999925
18,2020-01-30,656.390015,656.390015,656.390015,656.390015,1,Holding,0.0,0.0,16.829955999999925
19,2020-01-31,660.97998,664.77002,641.570007,642.47998,0,Holding,0.0,0.0,16.829955999999925
20,2020-02-03,631.820007,648.340027,627.650024,646.849976,0,sell,-32.75,-4.7917247852283475,-15.920044000000075
21,2020-02-04,650.719971,661.23999,649.219971,661.23999,1,Buy,0.0,0.0,-15.920044000000075
22,2020-02-05,666.73999,668.909973,658.030029,661.320007,1,Holding,0.0,0.0,-15.920044000000075
23,2020-02-06,672.690002,672.690002,672.690002,672.690002,1,Holding,0.0,0.0,-15.920044000000075
24,2020-02-07,673.109985,674.030029,667.929993,672.630005,1,Holding,0.0,0.0,-15.920044000000075
25,2020-02-10,669.530029,676.080017,668.099976,676.070007,0,Holding,0.0,0.0,-15.920044000000075
26,2020-02-11,682.340027,682.340027,682.340027,682.340027,1,Holding,0.0,0.0,-15.920044000000075
27,2020-02-12,683.26001,686.789978,680.26001,686.590027,0,Holding,0.0,0.0,-15.920044000000075
28,2020-02-13,689.539978,691.429993,681.77002,687.609985,0,sell,25.98998999999992,3.930492770106043,10.069945999999845
29,2020-02-14,687.22998,692.0,685.669983,688.909973,0,No action,0.0,0.0,10.069945999999845
30,2020-02-17,690.349976,692.640015,686.72998,692.590027,1,Buy,0.0,0.0,10.069945999999845
31,2020-02-18,691.419983,692.52002,681.440002,682.919983,0,Holding,0.0,0.0,10.069945999999845
32,2020-02-19,684.780029,684.780029,684.780029,684.780029,0,sell,-4.940002999999933,-0.7132651074110736,5.129942999999912
33,2020-02-20,687.650024,688.51001,677.98999,681.659973,1,Buy,0.0,0.0,5.129942999999912
