,precision,recall,f1-score,support
0,0.5180722891566265,0.47645429362880887,0.49639249639249644,361.0
1,0.5542452830188679,0.5949367088607594,0.5738705738705738,395.0
accuracy,0.5383597883597884,0.5383597883597884,0.5383597883597884,0.5383597883597884
macro avg,0.5361587860877473,0.5356955012447842,0.5351315351315351,756.0
weighted avg,0.5369721999708928,0.5383597883597884,0.5368737670324972,756.0
