,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit,Unrealized_profit,Unrealized_profit_plus_Cumulative_Profit,Holding_Period,Cumulative_Return,Unrealized_Return,Unrealized_profit_plus_Cumulative_Profit_Return,Cum_portfolio,Unreal_Cum_portfolio
0,2020-01-02,3244.669922,3258.139893,3235.530029,3257.850098,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
1,2020-01-03,3226.360107,3246.149902,3222.340088,3234.850098,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
2,2020-01-06,3217.550049,3246.840088,3214.639893,3246.280029,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
3,2020-01-07,3241.860107,3244.909912,3232.429932,3237.179932,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
4,2020-01-08,3238.590088,3267.070068,3236.669922,3253.050049,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
5,2020-01-09,3266.030029,3275.580078,3263.669922,3274.699951,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
6,2020-01-10,3281.810059,3282.98999,3260.860107,3265.350098,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
7,2020-01-13,3271.129883,3288.129883,3268.429932,3288.129883,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
8,2020-01-14,3285.350098,3294.25,3277.189941,3283.149902,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
9,2020-01-15,3282.27002,3298.659912,3280.689941,3289.290039,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
10,2020-01-16,3302.969971,3317.110107,3302.820068,3316.810059,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
11,2020-01-17,3323.659912,3329.879883,3318.860107,3329.620117,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
12,2020-01-21,3321.030029,3329.790039,3316.610107,3320.790039,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
13,2020-01-22,3330.02002,3337.77002,3320.040039,3321.75,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
14,2020-01-23,3315.77002,3326.879883,3301.870117,3325.540039,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
15,2020-01-24,3333.100098,3333.179932,3281.530029,3295.469971,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
16,2020-01-27,3247.159912,3258.850098,3234.5,3243.629883,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
17,2020-01-28,3255.350098,3285.780029,3253.219971,3276.23999,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
18,2020-01-29,3289.459961,3293.469971,3271.889893,3273.399902,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
19,2020-01-30,3256.449951,3285.909912,3242.800049,3283.659912,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
20,2020-01-31,3282.330078,3282.330078,3214.679932,3225.52002,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
21,2020-02-03,3235.659912,3268.439941,3235.659912,3248.919922,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
22,2020-02-04,3280.610107,3306.919922,3280.610107,3297.590088,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
23,2020-02-05,3324.909912,3337.580078,3313.75,3334.689941,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
24,2020-02-06,3344.919922,3347.959961,3334.389893,3345.780029,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
25,2020-02-07,3335.540039,3341.419922,3322.120117,3327.709961,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
26,2020-02-10,3318.280029,3352.26001,3317.77002,3352.090088,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
27,2020-02-11,3365.870117,3375.629883,3352.719971,3357.75,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
28,2020-02-12,3370.5,3381.469971,3369.719971,3379.449951,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
29,2020-02-13,3365.899902,3385.090088,3360.52002,3373.939941,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
30,2020-02-14,3378.080078,3380.689941,3366.149902,3380.159912,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
31,2020-02-18,3369.040039,3375.01001,3355.610107,3370.290039,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
32,2020-02-19,3380.389893,3393.52002,3378.830078,3386.149902,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
33,2020-02-20,3380.449951,3389.149902,3341.02002,3373.22998,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
34,2020-02-21,3360.5,3360.76001,3328.449951,3337.75,1,Buy,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3337.75,3337.75
