,precision,recall,f1-score,support
0,0.4348958333333333,0.5138461538461538,0.4710860366713681,325.0
1,0.5561797752808989,0.4771084337349398,0.5136186770428016,415.0
accuracy,0.49324324324324326,0.49324324324324326,0.49324324324324326,0.49324324324324326
macro avg,0.49553780430711614,0.49547729379054684,0.4923523568570849,740.0
weighted avg,0.5029131791552789,0.49324324324324326,0.49493880120399636,740.0
