,precision,recall,f1-score,support
0,0.4346590909090909,0.4622356495468278,0.4480234260614934,331.0
1,0.5594059405940595,0.5317647058823529,0.5452352231604343,425.0
accuracy,0.5013227513227513,0.5013227513227513,0.5013227513227513,0.5013227513227513
macro avg,0.49703251575157514,0.4970001777145904,0.4966293246109639,756.0
weighted avg,0.5047879415917782,0.5013227513227513,0.5026729151713477,756.0
