,True_Label,Predicted_results,action
320,1,1,Holding
321,0,1,Holding
322,1,1,Holding
323,0,1,Holding
324,0,1,Holding
325,1,1,Holding
326,1,1,Holding
327,1,1,Holding
328,1,0,Holding
329,1,0,sell
330,0,0,No action
331,0,1,Buy
332,0,1,Holding
333,0,1,Holding
334,0,1,Holding
335,0,1,Holding
336,0,1,Holding
337,0,1,Holding
338,0,1,Holding
339,0,1,Holding
340,0,1,Holding
341,0,1,Holding
342,1,1,Holding
343,1,1,Holding
344,0,1,Holding
345,1,0,Holding
346,1,0,sell
347,1,0,No action
348,1,0,No action
349,1,0,No action
350,1,0,No action
351,1,1,Buy
352,0,0,Holding
353,0,0,sell
354,1,1,Buy
355,1,0,Holding
356,1,0,sell
357,1,1,Buy
358,1,1,Holding
359,1,1,Holding
360,1,1,Holding
361,1,1,Holding
362,1,1,Holding
363,1,1,Holding
364,0,1,Holding
365,1,1,Holding
366,1,1,Holding
367,1,1,Holding
368,1,1,Holding
369,1,1,Holding
370,1,1,Holding
371,1,1,Holding
372,1,1,Holding
373,1,1,Holding
374,1,1,Holding
375,1,1,Holding
376,1,1,Holding
377,1,1,Holding
378,1,1,Holding
379,1,1,Holding
380,0,1,Holding
381,1,1,Holding
382,0,1,Holding
383,0,1,Holding
384,0,1,Holding
385,0,1,Holding
386,0,1,Holding
387,1,1,Holding
388,1,1,Holding
389,1,1,Holding
390,1,1,Holding
391,1,0,Holding
392,0,1,Holding
393,0,1,Holding
394,1,1,Holding
395,0,1,Holding
396,0,1,Holding
397,1,1,Holding
398,1,1,Holding
399,1,1,Holding
400,1,1,Holding
401,0,1,Holding
402,0,1,Holding
403,0,1,Holding
404,0,1,Holding
405,0,1,Holding
406,0,1,Holding
407,0,1,Holding
408,0,1,Holding
409,1,1,Holding
410,1,1,Holding
411,1,1,Holding
412,1,1,Holding
413,1,1,Holding
414,1,1,Holding
415,1,0,Holding
416,1,0,sell
417,1,1,Buy
418,1,1,Holding
419,1,1,Holding
420,1,1,Holding
421,0,1,Holding
422,0,1,Holding
423,0,1,Holding
424,0,1,Holding
425,0,1,Holding
426,0,1,Holding
427,0,1,Holding
428,0,1,Holding
429,0,1,Holding
430,0,0,Holding
431,0,1,Holding
432,1,1,Holding
433,1,1,Holding
434,0,1,Holding
435,0,1,Holding
436,0,1,Holding
437,0,1,Holding
438,0,1,Holding
439,0,1,Holding
440,1,1,Holding
441,0,1,Holding
442,1,1,Holding
443,1,1,Holding
444,1,0,Holding
445,0,0,sell
446,1,0,No action
447,1,0,No action
448,1,1,Buy
449,1,0,Holding
450,1,1,Holding
451,1,0,Holding
452,1,0,sell
453,1,0,No action
454,1,1,Buy
455,1,1,Holding
456,1,1,Holding
457,1,1,Holding
458,1,1,Holding
459,1,1,Holding
460,1,1,Holding
461,1,1,Holding
462,1,1,Holding
463,1,1,Holding
464,1,1,Holding
465,0,1,Holding
466,0,1,Holding
467,0,1,Holding
468,0,1,Holding
469,1,1,Holding
470,1,1,Holding
471,1,1,Holding
472,1,1,Holding
473,0,1,Holding
474,0,1,Holding
475,0,1,Holding
476,0,1,Holding
477,0,1,Holding
478,0,1,Holding
479,0,1,Holding
480,0,1,Holding
481,0,1,Holding
482,0,1,Holding
483,1,1,Holding
484,1,1,Holding
485,1,1,Holding
486,1,1,Holding
487,0,1,Holding
488,0,1,Holding
489,0,1,Holding
490,0,1,Holding
491,0,1,Holding
