,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit,Unrealized_profit,Unrealized_profit_plus_Cumulative_Profit,Holding_Period,Cumulative_Return,Unrealized_Return,Unrealized_profit_plus_Cumulative_Profit_Return,Cum_portfolio,Unreal_Cum_portfolio
0,2022-01-04,2991.969971,2995.25,2973.080078,2989.23999,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2920.530029,2920.530029
1,2022-01-05,2984.050049,2986.199951,2936.72998,2953.969971,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2920.530029,2920.530029
2,2022-01-06,2925.399902,2952.540039,2915.379883,2920.530029,1,Buy,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2920.530029,2920.530029
3,2022-01-07,2933.780029,2959.030029,2933.100098,2954.889893,1,Holding,0.0,0.0,0.0,34.359864000000016,34.359864000000016,1,0.0,1.1764941178079569,1.1764941178079569,2920.530029,2954.889893
4,2022-01-10,2947.370117,2951.120117,2910.899902,2926.719971,0,Holding,0.0,0.0,0.0,6.189941999999974,6.189941999999974,2,0.0,0.21194584334130037,0.21194584334130037,2920.530029,2926.719971
5,2022-01-11,2930.929932,2943.570068,2909.820068,2927.379883,0,sell,30.25,1.0357708943111843,0.0,6.84985400000005,6.84985400000005,0,0.0,0.23454146788367264,0.23454146788367264,2920.530029,2927.379883
6,2022-01-12,2950.780029,2972.580078,2950.310059,2972.47998,0,No action,0.0,0.0,30.25,0.0,30.25,0,1.0357708943111845,0.0,1.0357708943111845,2950.780029,2950.780029
7,2022-01-13,2979.909912,2982.139893,2958.389893,2962.090088,0,No action,0.0,0.0,30.25,0.0,30.25,0,1.0357708943111845,0.0,1.0357708943111845,2950.780029,2950.780029
8,2022-01-14,2937.610107,2944.969971,2914.72998,2921.919922,1,Buy,0.0,0.0,30.25,0.0,30.25,0,1.0357708943111845,0.0,1.0357708943111845,2950.780029,2950.780029
9,2022-01-17,2918.550049,2919.669922,2875.97998,2890.100098,1,Holding,0.0,0.0,30.25,-31.819824000000153,-1.5698240000001533,1,1.0357708943111845,-1.0895222334315589,-0.05375133912037421,2950.780029,2918.960205
10,2022-01-18,2898.97998,2902.790039,2857.26001,2864.23999,0,Holding,0.0,0.0,30.25,-57.67993200000001,-27.429932000000008,2,1.0357708943111845,-1.9749816446759778,-0.9392107503647931,2950.780029,2893.100097
11,2022-01-19,2840.340088,2871.790039,2832.179932,2842.280029,1,Holding,0.0,0.0,30.25,-79.63989300000003,-49.38989300000003,3,1.0357708943111845,-2.726898618031639,-1.6911277237204543,2950.780029,2871.140136
12,2022-01-20,2842.280029,2862.699951,2830.969971,2862.679932,0,Holding,0.0,0.0,30.25,-59.239990000000034,-28.989990000000034,4,1.0357708943111845,-2.0283985924391956,-0.9926276981280111,2950.780029,2891.540039
13,2022-01-21,2837.48999,2847.949951,2817.110107,2834.290039,1,Holding,0.0,0.0,30.25,-87.62988300000006,-57.37988300000006,5,1.0357708943111845,-3.0004787531667616,-1.964707858855577,2950.780029,2863.150146
14,2022-01-24,2823.76001,2828.110107,2780.679932,2792.0,1,Holding,0.0,0.0,30.25,-129.91992200000004,-99.66992200000004,6,1.0357708943111845,-4.448504918967914,-3.4127340246567295,2950.780029,2820.860107
15,2022-01-25,2786.409912,2789.620117,2703.98999,2720.389893,1,Holding,0.0,0.0,30.25,-201.530029,-171.280029,7,1.0357708943111845,-6.900460772492198,-5.8646898781810135,2950.780029,2749.25
16,2022-01-26,2729.75,2744.139893,2708.100098,2709.23999,1,Holding,0.0,0.0,30.25,-212.679932,-182.429932,8,1.0357708943111845,-7.282237466766345,-6.2464665724551605,2950.780029,2738.100097
17,2022-01-27,2709.23999,2722.860107,2614.48999,2614.48999,1,Holding,0.0,0.0,30.25,-307.429932,-277.179932,9,1.0357708943111845,-10.526511590269973,-9.490740695958788,2950.780029,2643.350097
18,2022-01-28,2617.870117,2668.590088,2591.530029,2663.340088,1,Holding,0.0,0.0,30.25,-258.5798340000001,-228.32983400000012,10,1.0357708943111845,-8.853866641752655,-7.81809574744147,2950.780029,2692.200195
19,2022-02-03,2706.340088,2735.340088,2702.780029,2707.820068,1,Holding,0.0,0.0,30.25,-214.09985400000005,-183.84985400000005,11,1.0357708943111845,-7.330856107420631,-6.295085213109447,2950.780029,2736.680175
20,2022-02-04,2714.830078,2751.800049,2712.870117,2750.26001,1,Holding,0.0,0.0,30.25,-171.65991200000008,-141.40991200000008,12,1.0357708943111845,-5.877697208913036,-4.841926314601851,2950.780029,2779.120117
21,2022-02-07,2750.699951,2750.699951,2718.939941,2745.060059,1,Holding,0.0,0.0,30.25,-176.85986300000013,-146.60986300000013,13,1.0357708943111845,-6.055745403876487,-5.019974509565302,2950.780029,2773.920166
22,2022-02-08,2767.76001,2779.850098,2726.719971,2746.469971,1,Holding,0.0,0.0,30.25,-175.44995100000006,-145.19995100000006,14,1.0357708943111845,-6.007469509227226,-4.971698614916041,2950.780029,2775.330078
23,2022-02-09,2772.629883,2773.379883,2753.51001,2768.850098,1,Holding,0.0,0.0,30.25,-153.06982400000015,-122.81982400000015,15,1.0357708943111845,-5.241165900711927,-4.205395006400742,2950.780029,2797.710205
24,2022-02-10,2787.439941,2788.27002,2761.76001,2771.929932,0,Holding,0.0,0.0,30.25,-149.98999000000003,-119.73999000000003,16,1.0357708943111845,-5.135711275372749,-4.099940381061565,2950.780029,2800.790039
25,2022-02-11,2739.139893,2766.699951,2735.080078,2747.709961,1,Holding,0.0,0.0,30.25,-174.20996100000002,-143.95996100000002,17,1.0357708943111845,-5.965011805054103,-4.9292409107429185,2950.780029,2776.570068
26,2022-02-14,2715.100098,2724.719971,2688.23999,2704.47998,1,Holding,0.0,0.0,30.25,-217.43994199999997,-187.18994199999997,18,1.0357708943111845,-7.445221923448334,-6.409451029137149,2950.780029,2733.340087
27,2022-02-15,2712.449951,2716.449951,2665.469971,2676.540039,1,Holding,0.0,0.0,30.25,-245.37988300000006,-215.12988300000006,19,1.0357708943111845,-8.401895565649054,-7.36612467133787,2950.780029,2705.400146
28,2022-02-16,2719.610107,2730.429932,2711.340088,2729.679932,1,Holding,0.0,0.0,30.25,-192.23999000000003,-161.98999000000003,20,1.0357708943111845,-6.582366491394157,-5.5465955970829715,2950.780029,2758.540039
29,2022-02-17,2735.110107,2770.659912,2711.98999,2744.090088,1,Holding,0.0,0.0,30.25,-177.82983400000012,-147.57983400000012,21,1.0357708943111845,-6.088957560244285,-5.053186665933101,2950.780029,2772.950195
30,2022-02-18,2714.52002,2747.080078,2711.879883,2744.52002,1,Holding,0.0,0.0,30.25,-177.3999020000001,-147.1499020000001,22,1.0357708943111845,-6.0742365337274915,-5.038465639416307,2950.780029,2773.380127
31,2022-02-21,2706.649902,2746.620117,2694.899902,2743.800049,1,Holding,0.0,0.0,30.25,-178.1198730000001,-147.8698730000001,23,1.0357708943111845,-6.09888860005966,-5.063117705748476,2950.780029,2772.660156
32,2022-02-22,2705.080078,2721.840088,2690.090088,2706.790039,1,Holding,0.0,0.0,30.25,-215.12988300000006,-184.87988300000006,24,1.0357708943111845,-7.36612467133787,-6.330353777026685,2950.780029,2735.650146
33,2022-02-23,2727.429932,2729.560059,2705.310059,2719.530029,1,Holding,0.0,0.0,30.25,-202.38989300000003,-172.13989300000003,25,1.0357708943111845,-6.929902825525786,-5.8941319312146,2950.780029,2748.390136
34,2022-02-24,2689.280029,2694.550049,2642.629883,2648.800049,1,Holding,0.0,0.0,30.25,-273.1198730000001,-242.8698730000001,26,1.0357708943111845,-9.351722813598919,-8.315951919287734,2950.780029,2677.660156
35,2022-02-25,2678.469971,2694.810059,2665.959961,2676.76001,1,Holding,0.0,0.0,30.25,-245.15991200000008,-214.90991200000008,27,1.0357708943111845,-8.394363679388146,-7.358592785076961,2950.780029,2705.620117
36,2022-02-28,2663.0,2699.179932,2658.25,2699.179932,1,Holding,0.0,0.0,30.25,-222.73999000000003,-192.48999000000003,28,1.0357708943111845,-7.62669747574097,-6.590926581429786,2950.780029,2728.040039
37,2022-03-02,2698.310059,2716.459961,2692.23999,2703.52002,1,Holding,0.0,0.0,30.25,-218.3999020000001,-188.1499020000001,29,1.0357708943111845,-7.4780912995707505,-6.442320405259566,2950.780029,2732.380127
