,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit,Unrealized_profit,Unrealized_profit_plus_Cumulative_Profit,Holding_Period,Cumulative_Return,Unrealized_Return,Unrealized_profit_plus_Cumulative_Profit_Return,Cum_portfolio,Unreal_Cum_portfolio
0,2022-01-04,2991.969971,2995.25,2973.080078,2989.23999,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2926.719971,2926.719971
1,2022-01-05,2984.050049,2986.199951,2936.72998,2953.969971,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2926.719971,2926.719971
2,2022-01-06,2925.399902,2952.540039,2915.379883,2920.530029,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2926.719971,2926.719971
3,2022-01-07,2933.780029,2959.030029,2933.100098,2954.889893,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2926.719971,2926.719971
4,2022-01-10,2947.370117,2951.120117,2910.899902,2926.719971,1,Buy,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2926.719971,2926.719971
5,2022-01-11,2930.929932,2943.570068,2909.820068,2927.379883,0,Holding,0.0,0.0,0.0,0.6599120000000767,0.6599120000000767,1,0.0,0.022547835342600214,0.022547835342600214,2926.719971,2927.379883
6,2022-01-12,2950.780029,2972.580078,2950.310059,2972.47998,0,sell,53.18994100000009,1.8173908514324375,0.0,45.76000900000008,45.76000900000008,0,0.0,1.5635253612720876,1.5635253612720876,2926.719971,2972.47998
7,2022-01-13,2979.909912,2982.139893,2958.389893,2962.090088,0,No action,0.0,0.0,53.18994100000009,0.0,53.18994100000009,0,1.8173908514324377,0.0,1.8173908514324377,2979.909912,2979.909912
8,2022-01-14,2937.610107,2944.969971,2914.72998,2921.919922,0,No action,0.0,0.0,53.18994100000009,0.0,53.18994100000009,0,1.8173908514324377,0.0,1.8173908514324377,2979.909912,2979.909912
9,2022-01-17,2918.550049,2919.669922,2875.97998,2890.100098,0,No action,0.0,0.0,53.18994100000009,0.0,53.18994100000009,0,1.8173908514324377,0.0,1.8173908514324377,2979.909912,2979.909912
10,2022-01-18,2898.97998,2902.790039,2857.26001,2864.23999,0,No action,0.0,0.0,53.18994100000009,0.0,53.18994100000009,0,1.8173908514324377,0.0,1.8173908514324377,2979.909912,2979.909912
11,2022-01-19,2840.340088,2871.790039,2832.179932,2842.280029,0,No action,0.0,0.0,53.18994100000009,0.0,53.18994100000009,0,1.8173908514324377,0.0,1.8173908514324377,2979.909912,2979.909912
12,2022-01-20,2842.280029,2862.699951,2830.969971,2862.679932,1,Buy,0.0,0.0,53.18994100000009,0.0,53.18994100000009,0,1.8173908514324377,0.0,1.8173908514324377,2979.909912,2979.909912
13,2022-01-21,2837.48999,2847.949951,2817.110107,2834.290039,1,Holding,0.0,0.0,53.18994100000009,-28.38989300000003,24.80004800000006,1,1.8173908514324377,-0.9700242346827527,0.8473666167496849,2979.909912,2951.520019
14,2022-01-24,2823.76001,2828.110107,2780.679932,2792.0,0,Holding,0.0,0.0,53.18994100000009,-70.67993200000001,-17.489990999999918,2,1.8173908514324377,-2.4149878601419505,-0.5975970087095127,2979.909912,2909.22998
15,2022-01-25,2786.409912,2789.620117,2703.98999,2720.389893,0,sell,-132.929932,-4.643548533458612,53.18994100000009,-142.29003899999998,-89.10009799999989,0,1.8173908514324377,-4.861757886299673,-3.0443670348672347,2979.909912,2837.619873
16,2022-01-26,2729.75,2744.139893,2708.100098,2709.23999,0,No action,0.0,0.0,-79.73999099999992,0.0,-79.73999099999992,0,-2.724551436082708,0.0,-2.724551436082708,2846.97998,2846.97998
17,2022-01-27,2709.23999,2722.860107,2614.48999,2614.48999,1,Buy,0.0,0.0,-79.73999099999992,0.0,-79.73999099999992,0,-2.724551436082708,0.0,-2.724551436082708,2846.97998,2846.97998
