,precision,recall,f1-score,support
0,0.46194225721784776,0.5191740412979351,0.4888888888888889,339.0
1,0.5459610027855153,0.48877805486284287,0.5157894736842106,401.0
accuracy,0.5027027027027027,0.5027027027027027,0.5027027027027027,0.5027027027027027
macro avg,0.5039516300016815,0.503976048080389,0.5023391812865498,740.0
weighted avg,0.5074713342078946,0.5027027027027027,0.503466097676624,740.0
