,precision,recall,f1-score,support
0,0.41160949868073876,0.47129909365558914,0.4394366197183099,331.0
1,0.5358090185676393,0.4752941176470588,0.5037406483790524,425.0
accuracy,0.47354497354497355,0.47354497354497355,0.47354497354497355,0.47354497354497355
macro avg,0.473709258624189,0.473296605651324,0.4715886340486811,756.0
weighted avg,0.48143065734731644,0.47354497354497355,0.47558637128023523,756.0
