,precision,recall,f1-score,support
0,0.40454545454545454,0.28343949044585987,0.3333333333333333,314.0
1,0.5802238805970149,0.7036199095022625,0.6359918200408998,442.0
accuracy,0.5291005291005291,0.5291005291005291,0.5291005291005291,0.5291005291005291
macro avg,0.4923846675712347,0.49352969997406115,0.48466257668711654,756.0
weighted avg,0.5072569152793033,0.5291005291005291,0.5102844591597148,756.0
