,precision,recall,f1-score,support
0,0.45645645645645644,0.4676923076923077,0.4620060790273556,325.0
1,0.5749385749385749,0.563855421686747,0.5693430656934305,415.0
accuracy,0.5216216216216216,0.5216216216216216,0.5216216216216216,0.5216216216216216
macro avg,0.5156975156975157,0.5157738646895274,0.515674572360393,740.0
weighted avg,0.5229025093889959,0.5216216216216216,0.5222018215495462,740.0
